timestamp,src,dest,freq,subtype,avg_sz,avg_rssi,std_rssi,avg_del,std_del
1549657706,8c:0d:76:64:69:31,5c:41:5a:f8:0d:1c,5,5,302,-3,0,3427.5,4057.18
1549657709,8c:0d:76:64:69:31,ff:ff:ff:ff:ff:ff,31,8,193,-3,0,102385.67,104137.25
1549657712,8c:0d:76:64:69:31,ff:ff:ff:ff:ff:ff,30,8,193,-3,0,102398,104210.56
1549657715,8c:0d:76:64:69:31,ff:ff:ff:ff:ff:ff,31,8,193,-3,0,102396.6,104148.83
1549657715,8c:0d:76:64:69:31,90:70:65:2d:f5:af,9,5,302,-3,0,5649.5,8853.77
1549657718,8c:0d:76:64:69:31,ff:ff:ff:ff:ff:ff,20,8,193,-3,0,107751.68,113171.53
1549657718,8c:0d:76:64:69:31,5c:41:5a:f8:0d:1c,5,5,302,-3,0,5895.25,8604.4
1549657721,8c:0d:76:64:69:31,ff:ff:ff:ff:ff:ff,29,8,193,-3,0,105999.96,109667.14
1549657724,8c:0d:76:64:69:31,ff:ff:ff:ff:ff:ff,31,8,193,-3,0,102399.47,104154.74
1549657724,8c:0d:76:64:69:31,90:97:f3:4e:66:e6,2,5,302,-3,0,20138,0
1549657727,8c:0d:76:64:69:31,ff:ff:ff:ff:ff:ff,30,8,193,-3,0,102313.72,104133.94
1549657727,8c:0d:76:64:69:31,90:70:65:2d:f5:af,8,5,302,-3,0,5916.57,8566.16
1549657730,8c:0d:76:64:69:31,ff:ff:ff:ff:ff:ff,31,8,193,-3,0,102400.73,104152.77
1549657730,8c:0d:76:64:69:31,5c:41:5a:f8:0d:1c,5,5,302,-3,0,3143.75,3639.27
1549657730,8c:0d:76:64:69:31,d0:d2:b0:0c:4e:5f,5,5,302,-3,0,3302.75,3817.1
1549657733,8c:0d:76:64:69:31,ff:ff:ff:ff:ff:ff,30,8,193,-3,0,102483.14,104298.41
1549657736,8c:0d:76:64:69:31,ff:ff:ff:ff:ff:ff,30,8,193,-3,0,105928.34,109469.12
1549657736,8c:0d:76:64:69:31,90:70:65:2d:f5:af,8,5,302,-3,0,6054.57,9500.53
1549657739,8c:0d:76:64:69:31,ff:ff:ff:ff:ff:ff,30,8,193,-3,0,102393.34,104205.88
1549657742,8c:0d:76:64:69:31,ff:ff:ff:ff:ff:ff,29,8,193,-3,0,102428.07,104308.5
1549657745,8c:0d:76:64:69:31,ff:ff:ff:ff:ff:ff,30,8,193,-3,0,102381.93,104196.22
1549657745,8c:0d:76:64:69:31,90:70:65:2d:f5:af,4,5,302,-3,0,16317.33,29876.77
1549657748,8c:0d:76:64:69:31,ff:ff:ff:ff:ff:ff,21,8,193,-3,0,102395.85,105056.15
1549657751,8c:0d:76:64:69:31,ff:ff:ff:ff:ff:ff,31,8,193,-3,0,102405.57,104158.6
1549657754,8c:0d:76:64:69:31,ff:ff:ff:ff:ff:ff,30,8,193,-3,0,102394.93,104208.63
1549657757,8c:0d:76:64:69:31,ff:ff:ff:ff:ff:ff,30,8,193,-3,0,105933.97,109481.17
1549657757,8c:0d:76:64:69:31,90:70:65:2d:f5:af,9,5,302,-3,0,5016.62,6610.06
1549657760,8c:0d:76:64:69:31,ff:ff:ff:ff:ff:ff,30,8,193,-3,0,102405.31,104222.28
1549657763,8c:0d:76:64:69:31,ff:ff:ff:ff:ff:ff,28,8,193,-3,0,102423,104376.9
1549657763,8c:0d:76:64:69:31,d0:2b:20:c6:94:dd,2,5,302,-3,0,10136,0
1549657763,d0:2b:20:c6:94:dd,ff:ff:ff:ff:ff:ff,2,4,174,-3,0,10213,0
1549657766,8c:0d:76:64:69:31,ff:ff:ff:ff:ff:ff,26,8,193,-3,0,102403.6,104516.77
1549657766,8c:0d:76:64:69:31,90:70:65:2d:f5:af,8,5,302,-3,0,9805,20339.88
1549657769,8c:0d:76:64:69:31,ff:ff:ff:ff:ff:ff,27,8,193,-3,0,106332.85,110282.76
1549657769,8c:0d:76:64:69:31,58:e6:ba:08:78:16,2,5,302,-3,0,21107,0
1549657772,8c:0d:76:64:69:31,ff:ff:ff:ff:ff:ff,31,8,193,-3,0,102408.7,104159.59
1549657775,8c:0d:76:64:69:31,ff:ff:ff:ff:ff:ff,25,8,193,-3,0,106665.83,110958.12
1549657775,8c:0d:76:64:69:31,5c:41:5a:f8:0d:1c,5,5,302,-3,0,3963.5,4951.35
1549657778,8c:0d:76:64:69:31,ff:ff:ff:ff:ff:ff,30,8,193,-3,0,102446.86,104262.46
1549657778,8c:0d:76:64:69:31,90:70:65:2d:f5:af,2,5,302,-3,0,3856,0
1549657781,8c:0d:76:64:69:31,ff:ff:ff:ff:ff:ff,31,8,193,-3,0,102403.33,104155.37
1549657784,8c:0d:76:64:69:31,ff:ff:ff:ff:ff:ff,27,8,193,-3,0,102425.73,104454.4
1549657787,8c:0d:76:64:69:31,ff:ff:ff:ff:ff:ff,32,8,193,-3,0,102393.35,104091.55
1549657787,8c:0d:76:64:69:31,90:70:65:2d:f5:af,7,5,302,-3,0,6973.33,11634.25
1549657790,8c:0d:76:64:69:31,ff:ff:ff:ff:ff:ff,30,8,193,-3,0,102401.93,104216.22
1549657793,8c:0d:76:64:69:31,ff:ff:ff:ff:ff:ff,31,8,193,-3,0,102395.63,104148.47
1549657796,8c:0d:76:64:69:31,ff:ff:ff:ff:ff:ff,30,8,193,-3,0,102396,104211.08
1549657796,8c:0d:76:64:69:31,90:70:65:2d:f5:af,8,5,302,-3,0,5893.43,8916.99
1549657796,8c:0d:76:64:69:31,5c:41:5a:f8:0d:1c,5,5,302,-3,0,3872.25,4592.41
1549657799,8c:0d:76:64:69:31,ff:ff:ff:ff:ff:ff,26,8,193,-3,0,102406.56,104526.28
1549657802,8c:0d:76:64:69:31,ff:ff:ff:ff:ff:ff,30,8,193,-3,0,102259.14,104124.64
1549657805,8c:0d:76:64:69:31,ff:ff:ff:ff:ff:ff,26,8,193,-3,0,102307.88,104462.43
1549657808,8c:0d:76:64:69:31,ff:ff:ff:ff:ff:ff,30,8,193,-3,0,102400.9,104215.88
1549657808,8c:0d:76:64:69:31,90:70:65:2d:f5:af,5,5,302,-3,0,3035.5,3506.22
1549657811,8c:0d:76:64:69:31,ff:ff:ff:ff:ff:ff,31,8,193,-3,0,102406.87,104160.6
1549657814,8c:0d:76:64:69:31,ff:ff:ff:ff:ff:ff,25,8,193,-3,0,102405.17,104611.63
1549657817,8c:0d:76:64:69:31,ff:ff:ff:ff:ff:ff,32,8,193,-3,0,102401.45,104105.99
1549657817,8c:0d:76:64:69:31,90:70:65:2d:f5:af,11,5,302,-3,0,5286.1,6304.69
1549657817,8c:0d:76:64:69:31,d0:2b:20:c6:94:dd,2,5,302,-3,0,11406,0
1549657820,8c:0d:76:64:69:31,ff:ff:ff:ff:ff:ff,31,8,193,-3,0,102398.23,104151.2
1549657823,8c:0d:76:64:69:31,ff:ff:ff:ff:ff:ff,30,8,193,-3,0,102398.38,104218.79
1549657826,8c:0d:76:64:69:31,ff:ff:ff:ff:ff:ff,30,8,193,-3,0,105931.59,109473.64
1549657826,8c:0d:76:64:69:31,90:70:65:2d:f5:af,8,5,302,-3,0,9265.29,17674.06
1549657829,8c:0d:76:64:69:31,ff:ff:ff:ff:ff:ff,31,8,193,-3,0,102404.53,104157.1
1549657832,8c:0d:76:64:69:31,ff:ff:ff:ff:ff:ff,20,8,193,-3,0,102337.58,105147.89
1549657835,8c:0d:76:64:69:31,ff:ff:ff:ff:ff:ff,31,8,193,-3,0,102398.47,104150.41
1549657838,8c:0d:76:64:69:31,ff:ff:ff:ff:ff:ff,31,8,193,-3,0,102398.3,104152.19
1549657838,8c:0d:76:64:69:31,90:70:65:2d:f5:af,7,5,302,-3,0,6335,9734.08
1549657868,8c:0d:76:64:69:31,ff:ff:ff:ff:ff:ff,10,8,193,-3,0,102386.89,108600.25
1549657871,8c:0d:76:64:69:31,ff:ff:ff:ff:ff:ff,29,8,193,-3,0,102407.68,104289.65
1549657874,8c:0d:76:64:69:31,ff:ff:ff:ff:ff:ff,33,8,193,-3,0,105568.62,108776.9
1549657877,8c:0d:76:64:69:31,ff:ff:ff:ff:ff:ff,31,8,193,-3,0,102402.63,104153.32
1549657877,8c:0d:76:64:69:31,90:70:65:2d:f5:af,7,5,302,-3,0,8671.17,16058.26
1549657880,8c:0d:76:64:69:31,ff:ff:ff:ff:ff:ff,30,8,193,-3,0,102395.21,104209.21
1549657883,8c:0d:76:64:69:31,ff:ff:ff:ff:ff:ff,27,8,193,-3,0,102404.58,104438.82
1549657886,8c:0d:76:64:69:31,ff:ff:ff:ff:ff:ff,32,8,193,-3,0,102402.06,104095.29
1549657886,8c:0d:76:64:69:31,90:70:65:2d:f5:af,2,5,302,-3,0,3685,0
1549657889,8c:0d:76:64:69:31,ff:ff:ff:ff:ff:ff,28,8,193,-3,0,102451.3,104404.91
1549657892,8c:0d:76:64:69:31,ff:ff:ff:ff:ff:ff,7,8,193,-3,0,102339,112118.02
1549657895,8c:0d:76:64:69:31,ff:ff:ff:ff:ff:ff,13,8,193,-3,0,102395.33,106948.7
1549657898,8c:0d:76:64:69:31,ff:ff:ff:ff:ff:ff,15,8,193,-3,0,102412.07,106279.04
1549657901,8c:0d:76:64:69:31,ff:ff:ff:ff:ff:ff,71,8,193,-3,0,102399.57,103140.32
1549657901,8c:0d:76:64:69:31,5c:41:5a:f8:0d:1c,5,5,302,-3,0,3163.25,3659.15
1549657901,8c:0d:76:64:69:31,d0:2b:20:c6:94:dd,7,5,302,-3,0,7606.33,11366.23
1549657904,8c:0d:76:64:69:31,ff:ff:ff:ff:ff:ff,29,8,193,-3,0,102506.11,104391.14
1549657907,8c:0d:76:64:69:31,ff:ff:ff:ff:ff:ff,30,8,193,-3,0,102400.24,104214.13
1549657907,8c:0d:76:64:69:31,90:70:65:2d:f5:af,8,5,302,-3,0,10796,22306.49
1549657910,8c:0d:76:64:69:31,ff:ff:ff:ff:ff:ff,31,8,193,-3,0,102398.17,104151.17
1549657913,8c:0d:76:64:69:31,ff:ff:ff:ff:ff:ff,28,8,193,-3,0,106201.56,110064.43
1549657916,8c:0d:76:64:69:31,ff:ff:ff:ff:ff:ff,34,8,193,-3,0,102384.24,104009.83
1549657916,8c:0d:76:64:69:31,90:70:65:2d:f5:af,8,5,302,-3,0,9944,20918.57
1549657919,8c:0d:76:64:69:31,ff:ff:ff:ff:ff:ff,3,8,193,-3,0,102356.5,144754.69
1549657922,8c:0d:76:64:69:31,ff:ff:ff:ff:ff:ff,47,8,193,-3,0,102395.26,103538.39
1549657925,8c:0d:76:64:69:31,ff:ff:ff:ff:ff:ff,31,8,193,-3,0,102443.8,104195.72
1549657928,8c:0d:76:64:69:31,ff:ff:ff:ff:ff:ff,30,8,193,-3,0,102410.62,104226.67
1549657928,8c:0d:76:64:69:31,90:70:65:2d:f5:af,7,5,302,-3,0,9487.83,17876.13
1549657928,8c:0d:76:64:69:31,c0:a6:00:e7:3a:ea,2,5,302,-3,0,21743,0
