timestamp,src,dest,src_port,dest_port,freq,avg_ttl,avg_sz,std_sz,avg_del,std_del
1551218613,87.248.222.204,192.168.1.13,80,46672,56,56,1089.29,644.24,56162.82,98485.03
1551218613,192.168.1.14,52.10.179.112,55086,443,2,64,70.5,26.16,7546,0
1551218613,192.168.1.2,17.252.60.13,49202,5223,1,64,52,0,0,0
1551218616,87.248.222.204,192.168.1.13,80,46672,37,56,1106.86,622.81,61593.53,103057.59
1551218616,23.209.84.194,192.168.1.14,443,39107,8,58,547.12,608.55,24444.29,26902.53
1551218616,34.250.18.56,192.168.1.14,80,32797,1,235,60,0,0,0
1551218619,192.168.1.14,193.155.127.106,42552,443,12,64,150.67,275.7,21913.91,28742.4
1551218622,192.168.1.4,104.198.46.246,52975,56700,1,64,40,0,0,0
1551218622,192.168.1.5,104.198.46.246,56590,56700,1,64,40,0,0,0
1551218625,87.248.222.204,192.168.1.13,80,46672,28,56,1214.36,547.56,45791.04,81345.44
1551218625,192.168.1.5,104.198.46.246,56590,56700,1,64,173,0,0,0
1551218625,104.198.46.246,192.168.1.5,56700,56590,1,52,40,0,0,0
1551218628,87.248.222.204,192.168.1.13,80,46672,50,56,1058.92,634.24,58143.37,100289.92
1551218631,107.178.240.159,192.168.1.14,443,55917,3,124,224.67,288.74,14797,4963.89
1551218634,35.190.25.25,192.168.1.14,443,59835,2,124,309.5,364.16,148160,0
1551218637,192.168.1.13,87.248.222.204,46672,80,90,64,52.27,1.78,103367.02,104034.68
1551218643,107.178.240.159,192.168.1.14,443,55917,3,124,224.67,288.74,12307,3382.8
1551218643,35.190.25.25,192.168.1.14,443,59835,2,124,309.5,364.16,178365,0
1551218646,87.248.222.204,192.168.1.13,80,46672,120,56,1164.94,572.81,68383.02,100210.63
1551218646,34.249.225.142,192.168.1.8,443,47363,4,237,88.25,42.19,75706.33,55875.57
1551218646,192.168.1.8,34.249.225.142,47363,443,3,64,83.33,27.14,103572.5,142083.92
1551218649,192.168.1.8,34.249.225.142,47363,443,10,64,265,286.1,322259.89,414844.21
1551218649,52.214.208.68,192.168.1.14,443,35888,3,235,401,604.49,56534,25570.4
1551218649,34.254.106.170,192.168.1.14,443,38557,1,235,715,0,0,0
1551218652,52.50.253.26,192.168.1.14,443,40230,10,235,470.6,577.82,269712,682352.89
1551218655,35.184.172.128,192.168.1.14,443,35749,1,53,52,0,0,0
1551218655,35.184.172.128,192.168.1.14,443,35747,1,53,52,0,0,0
1551218658,87.248.222.204,192.168.1.13,80,46672,97,56,1082.76,632.79,61393.14,104155.93
1551218658,34.249.225.142,192.168.1.8,443,47363,4,237,88.25,42.19,75773.67,54243.21
1551218658,192.168.1.8,34.249.225.142,47363,443,3,64,83.33,27.14,103612,141586.82
1551218661,87.248.222.204,192.168.1.13,80,46672,49,56,1106.88,624.95,63358.94,106780.92
1551218661,192.168.1.13,87.248.222.204,46672,80,27,64,52.44,2.31,116514.31,113598.34
1551218664,192.168.1.13,87.248.222.204,46672,80,26,64,52,0,111411.56,114608.64
1551218664,34.249.225.142,192.168.1.8,443,47363,6,237,84,36.5,121211,159754.02
1551218664,192.168.1.8,34.249.225.142,47363,443,4,64,163.75,162.35,211402.33,162526.57
1551218667,87.248.222.204,192.168.1.13,80,46672,47,56,1041.11,660.64,59821.22,100083.28
1551218667,192.168.1.8,34.249.225.142,47363,443,8,64,227.38,96.23,230819,486821.04
1551218667,34.249.225.142,192.168.1.8,443,47363,7,237,58.71,17.76,268940.67,551985.47
1551218670,87.248.222.204,192.168.1.13,80,46672,53,56,1039.04,630.15,55053.08,96047.1
1551218670,192.168.1.13,52.95.112.20,40811,443,2,64,60.5,28.99,512,0
1551218670,52.95.112.20,192.168.1.13,443,40811,2,222,60.5,28.99,72857,0
1551218673,87.248.222.204,192.168.1.13,80,46672,33,56,1101.82,647.06,46097.72,84071.24
1551218673,104.198.46.246,192.168.1.5,56700,56590,2,52,82.5,60.1,306565,0
1551218673,192.168.1.5,104.198.46.246,56590,56700,2,64,82.5,60.1,201213,0
1551218676,192.168.1.8,34.249.225.142,47363,443,2,64,227.5,248.19,19898,0
1551218676,216.58.198.170,192.168.1.14,443,53667,15,124,439.13,502.84,20684.86,29007.74
1551218676,34.225.195.31,192.168.1.13,443,46821,1,235,83,0,0,0
1551218679,87.248.222.204,192.168.1.13,80,46672,43,56,1094.77,643.89,63821.29,103060.81
1551218679,192.168.1.8,34.249.225.142,47363,443,4,64,228.75,204.09,432040.33,713573.47
1551218679,34.249.225.142,192.168.1.8,443,47363,2,237,99,0,1276150,0
1551218682,192.168.1.13,87.248.222.204,46672,80,32,64,53.12,3.55,94295.74,106949.52
1551218682,35.190.25.25,192.168.1.14,443,59860,1,124,60,0,0,0
1551218682,35.190.53.75,192.168.1.14,443,35225,1,124,60,0,0,0
1551218685,35.190.53.75,192.168.1.14,443,35225,7,124,551.29,585.28,28114.5,40033.79
1551218685,216.58.201.46,192.168.1.14,443,56355,11,124,433,545.66,23996.9,30245.3
1551218685,216.58.208.138,192.168.1.14,443,40474,1,124,40,0,0,0
1551218688,192.168.1.13,87.248.222.204,46672,80,31,64,52.77,3,100481.53,103156.6
1551218688,192.168.1.14,174.129.216.120,60236,443,11,64,167.91,285.17,42785.6,52726.17
1551218688,174.129.216.120,192.168.1.14,443,60236,9,234,851,673.28,37432.25,51349.37
1551218691,87.248.222.204,192.168.1.13,80,46672,50,56,1169.9,582.42,61547.92,101942.66
1551218691,52.119.164.214,192.168.1.14,443,60606,15,223.6,421.13,567.82,38729.07,72764.88
1551218691,52.22.73.224,192.168.1.14,443,48885,9,235,798.33,668.62,46057.5,61859.31
1551218694,192.168.1.13,87.248.222.204,46672,80,26,64,52.46,2.35,122470,118135.56
1551218694,192.168.1.4,104.198.46.246,52975,56700,3,64,102,54.29,431995,472944.13
1551218694,54.230.198.116,192.168.1.14,443,43987,15,246,694.27,678.05,61989.5,114091.92
1551218697,192.168.1.13,87.248.222.204,46672,80,33,64,52,0,95315.66,103526.43
1551218697,52.119.164.214,192.168.1.14,443,60606,1,223,71,0,0,0
1551218697,192.168.1.14,52.119.164.214,60606,443,1,64,40,0,0,0
1551218700,192.168.1.13,87.248.222.204,46672,80,32,64,53.12,3.55,100019.65,113266.51
1551218700,192.168.1.8,34.249.225.142,47363,443,4,64,228.25,203.52,417038.33,685154.95
1551218700,34.249.225.142,192.168.1.8,443,47363,2,237,99,0,1228245,0
1551218703,87.248.222.204,192.168.1.13,80,46672,28,56,1111.57,602.53,74762.7,108014.84
1551218703,34.255.64.239,192.168.1.14,443,43005,1,235,83,0,0,0
1551218703,192.168.1.14,34.255.64.239,43005,443,1,64,52,0,0,0
1551218706,87.248.222.204,192.168.1.13,80,46672,49,56,1174.43,561.94,62867.06,101122.73
1551218706,54.230.198.116,192.168.1.14,443,43987,1,246,52,0,0,0
