timestamp,src,dest,type,freq,avg_sz,std_sz,avg_del,std_del
1549657721,b88f,1c7c,2,1,26,0,0,0
1549657724,700a,0,2,13,26,0,246519.92,4687.11
1549657724,1c7c,ffff,3,1,64,0,0,0
1549657724,0,ffff,3,1,64,0,0,0
1549657727,700a,0,2,11,26,0,269862.5,77459.71
1549657727,0,ffff,3,1,64,0,0,0
1549657730,700a,0,1,1,75,0,0,0
1549657730,0,ffff,3,2,65,0,92888,0
1549657730,0,700a,1,1,68,0,0,0
1549657733,700a,0,2,11,26,0,295322.1,103437.81
1549657733,0,ffff,3,5,65,0,158938.5,62328.34
1549657733,b88f,1c7c,2,1,26,0,0,0
1549657736,700a,0,2,12,26,0,267749.82,74014.61
1549657736,ffff,ffff,0,14,0,0,226557.77,53272.47
1549657736,5408,0,2,1,26,0,0,0
1549657739,700a,0,2,13,26,0,242720.5,244323.5
1549657739,cda3,700a,1,1,68,0,0,0
1549657739,1c7c,ffff,3,1,64,0,0,0
1549657742,700a,0,2,10,26,0,245529.44,749.42
1549657742,ffff,ffff,0,10,0,0,245542.56,1091.37
1549657742,0,ffff,3,1,64,0,0,0
1549657745,700a,0,2,15,26,0,211131.79,82703.52
1549657745,b88f,1c7c,2,1,26,0,0,0
1549657748,700a,0,2,7,26,0,245625.5,1141.64
1549657748,0,b88f,1,2,65.5,3.54,20627,0
1549657751,b88f,1c7c,2,3,26,0,502374,697579.22
1549657751,5408,0,2,1,26,0,0,0
1549657751,cda3,700a,1,2,74.5,9.19,7505,0
1549657754,700a,0,2,13,26,0,246332.5,2739.56
1549657754,ffff,ffff,0,12,0,0,268727.09,73710.69
1549657754,0,ffff,3,1,64,0,0,0
1549657757,700a,0,2,13,26,0,225458.33,68347.83
1549657757,b88f,1c7c,2,1,26,0,0,0
1549657757,1c7c,ffff,3,1,64,0,0,0
1549657760,700a,0,1,1,75,0,0,0
1549657760,ffff,ffff,0,8,0,0,245117.57,140047.92
1549657760,0,700a,1,1,68,0,0,0
1549657763,700a,0,2,11,26,0,245661.9,2558.66
1549657763,5408,0,2,1,26,0,0,0
1549657763,b88f,1c7c,2,1,26,0,0,0
1549657766,700a,0,2,12,26,0,267737,74055.51
1549657766,ffff,ffff,0,13,0,0,245529.92,1289.21
1549657769,700a,0,2,11,26,0,292364.2,332945.03
1549657769,0,5408,1,5,61,2.74,5939,1601.94
1549657769,cda3,700a,1,1,68,0,0,0
1549657772,700a,0,2,11,26,0,269781.9,77824.82
1549657772,1c7c,ffff,3,1,64,0,0,0
1549657775,700a,0,2,12,26,0,224534.27,66778.93
1549657775,cda3,700a,1,1,68,0,0,0
1549657775,5408,0,2,1,26,0,0,0
1549657778,700a,cda3,1,4,71.5,4.04,53217.67,82304.57
1549657778,cda3,700a,1,8,70.75,5.09,5417.43,1706.17
1549657778,0,ffff,1,1,65,0,0,0
1549657781,0,ffff,3,3,65,0,280320,2920.35
1549657781,cda3,700a,1,4,74.5,7.51,327713,555597.93
1549657781,5408,0,2,1,26,0,0,0
1549657784,700a,0,2,10,26,0,246892.44,3035.38
1549657784,ffff,ffff,0,11,0,0,258200.6,91167.24
1549657784,1a0a,0,2,1,26,0,0,0
1549657787,ffff,ffff,0,19,0,0,152721.67,144462.19
1549657787,0,cda3,1,1,68,0,0,0
1549657787,1c7c,ffff,3,1,64,0,0,0
1549657790,700a,0,2,11,26,0,291352.3,332990.43
1549657790,0,700a,1,2,66.5,2.12,8743,0
1549657790,cda3,700a,1,1,65,0,0,0
