timestamp,freq,avg_rms,std_rms
1551526681,144,11.6,11.67
1551526684,106,14.35,22.12
1551526687,143,28.89,35.86
1551526690,145,41.19,55.83
1551526693,144,29.73,50.96
1551526696,144,55.92,57.19
1551526699,144,83.65,108.04
1551526702,144,47.22,33.38
1551526705,143,42.07,30.15
1551526708,143,56.45,35.18
1551526711,107,49.79,29.31
1551526714,143,41.12,37.63
1551526717,137,29.84,46.88
1551526720,142,45,45.1
1551526723,143,38.64,34.34
1551526726,143,37.24,46.69
1551526729,138,44.65,65.51
1551526732,142,77.72,66.35
1551526735,144,84.69,51.16
1551526738,144,81.42,56.34
1551526741,107,67.58,54.99
1551526744,142,55.67,69.65
1551526747,144,163.27,267
1551526750,144,71.68,117.95
1551526753,141,79.84,151.6
1551526756,143,128.55,200
1551526759,143,44.61,54.05
1551526762,145,28.82,30.39
1551526765,143,39.66,36.5
1551526768,108,49.5,60.4
1551526771,143,37.2,54.95
1551526774,144,20.38,27.27
1551526777,144,146.81,158.88
1551526780,143,59.27,45.14
1551526783,144,32.13,52.06
1551526786,143,34.69,33.16
1551526789,143,24.77,29.5
1551526792,144,53.56,69.88
1551526795,142,38.06,66.06
1551526798,106,40.49,41.54
1551526801,144,50.35,35.6
1551526804,146,28.73,29.51
1551526807,143,16.65,18.66
1551526810,144,31.89,34.07
1551526813,144,37.73,43.39
1551526816,144,69.02,85.02
1551526819,144,130.6,154.33
1551526822,142,27.12,27.18
1551526825,143,23.21,25.32
1551526828,106,24.96,19.45
1551526831,144,64.18,84.42
1551526834,143,92.34,96.53
1551526837,143,56.24,75.52
1551526840,144,25.35,30.7
